,_id,Chiral indice n,Chiral indice m,Initial atomic coordinate u,Initial atomic coordinate v,Initial atomic coordinate w',Calculated atomic coordinates u',Calculated atomic coordinates v',Calculated atomic coordinates w',Initial atomic coordinate w
0,60be2c68e45173768720f9e0,2,1,0.679005,0.701318,0.017033,0.721039,0.730232,0.017014,
1,60be2c98e45173768720fa06,2,1,0.679005,0.701318,,0.721039,0.730232,0.017014,0.017033
2,60be2c98e45173768720fa07,2,1,0.717298,0.642129,,0.738414,0.65675,0.232369,0.231319
3,60be2c98e45173768720fa08,2,1,0.489336,0.303751,,0.477676,0.263221,0.088712,0.088462
4,60be2c98e45173768720fa09,2,1,0.413957,0.632996,,0.408823,0.657897,0.039796,0.040843
5,60be2c98e45173768720fa0a,2,1,0.334292,0.543401,,0.303349,0.558807,0.157373,0.15989
6,60be2c98e45173768720fa0b,2,1,0.510664,0.696249,,0.496977,0.725608,0.25597,0.255128
7,60be2c98e45173768720fa0c,2,1,0.413957,0.632996,,0.390878,0.657645,0.374735,0.374176
8,60be2c98e45173768720fa0d,2,1,0.712552,0.55479,,0.750056,0.561494,0.114944,0.112271
9,60be2c98e45173768720fa0e,2,1,0.320995,0.298682,,0.281301,0.261433,0.182779,0.1837
10,60be2c98e45173768720fa0f,2,1,0.394742,0.279367,,0.35086,0.2335,0.302196,0.302747
11,60be2c98e45173768720fa10,2,1,0.282702,0.357871,,0.229138,0.328729,0.398581,0.397985
12,60be2c98e45173768720fa11,2,1,0.320995,0.298682,,0.278752,0.269615,0.51733,0.517033
13,60be2c98e45173768720fa12,2,1,0.605258,0.720633,,0.613415,0.760009,0.469452,0.469414
14,60be2c98e45173768720fa13,2,1,0.510664,0.696249,,0.521991,0.736991,0.588946,0.588462
15,60be2c98e45173768720fa14,2,1,0.679005,0.701318,,0.718811,0.738577,0.68244,0.6837
16,60be2c98e45173768720fa15,2,1,0.605258,0.720633,,0.649178,0.766301,0.80193,0.802747
17,60be2c98e45173768720fa16,2,1,0.665708,0.456599,,0.680389,0.444562,0.327502,0.326557
18,60be2c98e45173768720fa17,2,1,0.712552,0.55479,,0.737216,0.552056,0.443517,0.445605
19,60be2c98e45173768720fa18,2,1,0.586043,0.367004,,0.591153,0.342069,0.540172,0.540843
20,60be2c98e45173768720fa19,2,1,0.665708,0.456599,,0.697242,0.441516,0.657521,0.65989
21,60be2c98e45173768720fa1a,2,1,0.287448,0.44521,,0.249571,0.438057,0.614939,0.612271
22,60be2c98e45173768720fa1b,2,1,0.282702,0.357871,,0.262916,0.343512,0.732213,0.731319
23,60be2c98e45173768720fa1c,2,1,0.334292,0.543401,,0.320053,0.555754,0.827503,0.826557
24,60be2c98e45173768720fa1d,2,1,0.287448,0.44521,,0.262054,0.44817,0.943402,0.945605
25,60be2c98e45173768720fa1e,2,1,0.717298,0.642129,,0.770521,0.670869,0.898389,0.897985
26,60be2c98e45173768720fa1f,2,1,0.489336,0.303751,,0.50356,0.27443,0.75629,0.755128
27,60be2c98e45173768720fa20,2,1,0.586043,0.367004,,0.609,0.342123,0.875088,0.874176
28,60be2c98e45173768720fa21,2,1,0.394742,0.279367,,0.385666,0.240071,0.969157,0.969414
29,60be2c98e45173768720fa22,3,1,0.591598,0.760361,,0.59912,0.779052,0.058651,0.05909
30,60be2c98e45173768720fa23,3,1,0.24301,0.424391,,0.222068,0.414703,0.020882,0.020628
31,60be2c98e45173768720fa24,3,1,0.348135,0.611237,,0.337437,0.618899,0.085676,0.084731
32,60be2c98e45173768720fa25,3,1,0.300826,0.550669,,0.287789,0.556575,0.174486,0.174474
33,60be2c98e45173768720fa26,3,1,0.732854,0.724426,,0.754953,0.742501,0.123074,0.123192
34,60be2c98e45173768720fa27,3,1,0.696244,0.751243,,0.716721,0.774579,0.211887,0.212936
35,60be2c98e45173768720fa28,3,1,0.764136,0.633981,,0.787393,0.647285,0.277407,0.277038
36,60be2c98e45173768720fa29,3,1,0.755932,0.684567,,0.775712,0.700545,0.366505,0.366782
37,60be2c98e45173768720fa2a,3,1,0.699174,0.449331,,0.72086,0.444281,0.00759,0.007807
38,60be2c98e45173768720fa2b,3,1,0.734908,0.512843,,0.762097,0.516121,0.096337,0.097551
39,60be2c98e45173768720fa2c,3,1,0.303756,0.248757,,0.293584,0.229065,0.047346,0.046269
40,60be2c98e45173768720fa2d,3,1,0.351772,0.236542,,0.349972,0.22059,0.136027,0.136013
41,60be2c98e45173768720fa2e,3,1,0.244068,0.315433,,0.232016,0.304156,0.201163,0.200115
42,60be2c98e45173768720fa2f,3,1,0.267146,0.275574,,0.259193,0.263096,0.289735,0.289859
43,60be2c98e45173768720fa30,3,1,0.465969,0.709835,,0.467543,0.732466,0.238691,0.238577
44,60be2c98e45173768720fa31,3,1,0.40427,0.665341,,0.398427,0.685067,0.327159,0.32832
45,60be2c98e45173768720fa32,3,1,0.591598,0.760361,,0.599318,0.782562,0.392936,0.392423
46,60be2c98e45173768720fa33,3,1,0.529645,0.742134,,0.529179,0.763965,0.48165,0.482166
47,60be2c98e45173768720fa34,3,1,0.59573,0.334659,,0.613188,0.322504,0.16211,0.161654
48,60be2c98e45173768720fa35,3,1,0.651865,0.388763,,0.674862,0.383646,0.250882,0.251397
