Chiralindicen,Chiralindicem,Initialatomiccoordinateu,Initialatomiccoordinatev,Initialatomiccoordinatew,Calculatedatomiccoordinatesu,Calculatedatomiccoordinatesv,Calculatedatomiccoordinatesw
2,1,0.67901,0.70132,0.01703,0.72104,0.73023,0.01701
2,1,0.71730,0.64213,0.23132,0.73841,0.65675,0.23237
2,1,0.67901,0.70132,0.01703,0.72104,0.73023,0.01701
2,1,0.71730,0.64213,0.23132,0.73841,0.65675,0.23237
2,1,0.48934,0.30375,0.08846,0.47768,0.26322,0.08871
2,1,0.41396,0.63300,0.04084,0.40882,0.65790,0.03980
2,1,0.33429,0.54340,0.15989,0.30335,0.55881,0.15737
2,1,0.51066,0.69625,0.25513,0.49698,0.72561,0.25597
2,1,0.41396,0.63300,0.37418,0.39088,0.65765,0.37474
2,1,0.71255,0.55479,0.11227,0.75006,0.56149,0.11494
2,1,0.32100,0.29868,0.18370,0.28130,0.26143,0.18278
2,1,0.39474,0.27937,0.30275,0.35086,0.23350,0.30220
2,1,0.28270,0.35787,0.39799,0.22914,0.32873,0.39858
2,1,0.32100,0.29868,0.51703,0.27875,0.26962,0.51733
2,1,0.60526,0.72063,0.46941,0.61342,0.76001,0.46945
2,1,0.51066,0.69625,0.58846,0.52199,0.73699,0.58895
2,1,0.67901,0.70132,0.68370,0.71881,0.73858,0.68244
2,1,0.60526,0.72063,0.80275,0.64918,0.76630,0.80193
2,1,0.66571,0.45660,0.32656,0.68039,0.44456,0.32750
2,1,0.71255,0.55479,0.44561,0.73722,0.55206,0.44352
2,1,0.58604,0.36700,0.54084,0.59115,0.34207,0.54017
2,1,0.66571,0.45660,0.65989,0.69724,0.44152,0.65752
2,1,0.28745,0.44521,0.61227,0.24957,0.43806,0.61494
2,1,0.28270,0.35787,0.73132,0.26292,0.34351,0.73221
2,1,0.33429,0.54340,0.82656,0.32005,0.55575,0.82750
2,1,0.28745,0.44521,0.94561,0.26205,0.44817,0.94340
2,1,0.71730,0.64213,0.89799,0.77052,0.67087,0.89839
2,1,0.48934,0.30375,0.75513,0.50356,0.27443,0.75629
2,1,0.58604,0.36700,0.87418,0.60900,0.34212,0.87509
2,1,0.39474,0.27937,0.96941,0.38567,0.24007,0.96916
3,1,0.59160,0.76036,0.05909,0.59912,0.77905,0.05865
3,1,0.24301,0.42439,0.02063,0.22207,0.41470,0.02088
3,1,0.34814,0.61124,0.08473,0.33744,0.61890,0.08568
3,1,0.30083,0.55067,0.17447,0.28779,0.55658,0.17449
3,1,0.73285,0.72443,0.12319,0.75495,0.74250,0.12307
3,1,0.69624,0.75124,0.21294,0.71672,0.77458,0.21189
3,1,0.76414,0.63398,0.27704,0.78739,0.64729,0.27741
3,1,0.75593,0.68457,0.36678,0.77571,0.70055,0.36651
3,1,0.69917,0.44933,0.00781,0.72086,0.44428,0.00759
3,1,0.73491,0.51284,0.09755,0.76210,0.51612,0.09634
3,1,0.30376,0.24876,0.04627,0.29358,0.22907,0.04735
3,1,0.35177,0.23654,0.13601,0.34997,0.22059,0.13603
3,1,0.24407,0.31543,0.20012,0.23202,0.30416,0.20116
3,1,0.26715,0.27557,0.28986,0.25919,0.26310,0.28974
3,1,0.46597,0.70984,0.23858,0.46754,0.73247,0.23869
3,1,0.40427,0.66534,0.32832,0.39843,0.68507,0.32716
3,1,0.59160,0.76036,0.39242,0.59932,0.78256,0.39294
3,1,0.52965,0.74213,0.48217,0.52918,0.76397,0.48165
3,1,0.59573,0.33466,0.16165,0.61319,0.32250,0.16211
